Word	Count	Emotions
edge	4	
season	2	
buy	44	
honey	56	positive
forgive	4	positive
eateth	56	
satan	56	
pilate	56	
food	55	joy, positive, trust
fowl	31	
canaanite	14	
nay	55	negative
haste	2	anticipation
laban	55	
dost	55	
wonder	3	
mingle	2	
observe	11	
graven	55	
immediately	55	anticipation, negative, positive
savour	54	
whoso	54	
seeth	54	
sepulchre	16	
forget	1	negative
beyond	54	
widow	25	sadness
afflict	36	fear, negative, sadness
foundation	32	positive
socket	1	
hell	54	anger, disgust, fear, negative, sadness
queen	3	
mary	54	
countenance	2	
noah	53	
fair	3	positive
red	53	
friend	49	joy, positive, trust
promise	1	joy, positive, trust
zadok	53	
josiah	53	
garden	12	joy, positive
shed	1	negative
enquire	34	
scarlet	52	
heareth	52	
ephod	52	
terrible	52	anger, disgust, fear, negative, sadness
foolish	52	negative
jehoiada	52	
haman	52	
star	15	anticipation, joy, positive, trust
each	51	
too	51	
tarry	2	negative
afar	51	
mourn	22	negative, sadness
wheat	51	
delight	6	anticipation, joy, positive
moon	11	
ourselves	51	
guard	51	fear, positive, trust
home	51	
canst	51	
instrument	8	
past	51	
remembrance	1	
goodness	51	anticipation, joy, positive, surprise, trust
transgression	48	negative
talent	14	positive
cedar	51	
doing	51	
doctrine	5	trust
itself	50	
thorn	7	negative
nine	50	
substance	50	positive
simeon	50	
naphtali	50	
former	50	
tooth	12	
thrust	50	
blue	50	sadness
glorify	3	anticipation, joy, positive, surprise, trust
rehoboam	50	
confound	5	negative
belly	1	
wroth	49	
speech	7	positive
prosper	13	anticipation, joy, positive
touch	30	
assembly	6	positive, trust
stave	49	negative
beauty	1	joy, positive
pride	49	joy, positive
parable	16	
need	2	
joash	49	
azariah	49	
decree	3	
sodom	48	
tower	17	positive
camel	11	
sinner	21	anger, disgust, fear, negative, sadness
ishmael	48	
milk	48	
kindness	48	positive
damsel	3	
else	48	
song	20	
purple	48	
search	5	
gibeah	48	
palace	33	
proud	48	anticipation, joy, positive, trust
sixth	47	
naked	47	
forward	47	positive
rachel	47	
mischief	3	negative
pestilence	2	disgust, fear, negative
gladness	47	joy, positive
refuge	47	
eternal	47	
jesse	47	
multiply	2	
male	32	
conceive	1	
goest	46	
tiding	46	
band	1	
sackcloth	46	
interpretation	2	
office	5	
snare	9	fear, negative
repent	1	fear, positive
keepeth	46	
rebuke	2	negative
desolation	11	fear, negative, sadness
weak	3	
low	2	
spear	16	anger, anticipation, fear, negative
james	45	
create	8	joy, positive
kind	10	joy, positive, trust
doest	45	
vengeance	45	anger, negative
shield	23	
handmaid	8	
hard	3	
smoke	45	
town	13	
profit	1	
zebulun	45	
glorious	45	
utter	1	
believeth	45	
wild	44	negative, surprise
angry	44	anger, disgust, negative
compass	3	trust
issachar	44	
shepherd	38	positive, trust
ring	2	
root	8	
repair	1	
synagogue	24	
flood	19	fear
join	1	positive
dark	43	sadness
uncircumcised	43	
ashe	43	
asher	43	
staff	43	
duke	43	positive
kid	8	
forasmuch	43	
satisfied	43	joy, positive
holiness	43	anticipation, fear, joy, positive, surprise, trust
fatherless	43	
balak	43	
justify	2	
judaea	43	
herod	43	
finish	11	
plant	2	
breath	42	
talk	9	positive
truly	42	
age	4	
herself	42	
perform	2	
weary	14	negative, sadness
change	1	fear
harlot	8	disgust, negative
desert	6	anger, disgust, fear, negative, sadness
latter	42	
sitteth	42	
post	11	
provoke	6	
shimei	42	
awake	1	
straightway	42	
seeketh	42	
nathan	42	
benaiah	42	
ahaz	42	
path	23	
green	41	joy, positive, trust
fig	25	
bosom	41	
sarah	41	
sure	41	
walketh	41	
faint	1	
vow	2	anticipation, joy, positive, trust
either	41	
fierce	1	anger, disgust, fear, negative
compassion	2	fear, positive
board	17	anticipation
suddenly	41	surprise
arrow	16	
gilgal	41	
indignation	41	anger, disgust, negative
shemaiah	41	
resurrection	41	
eastward	40	
serpent	13	disgust, fear, negative
grieve	1	fear, negative, sadness
exceedingly	40	
salt	4	
count	1	positive, trust
spare	1	
merciful	40	positive
restore	27	
toucheth	40	
issue	2	
beat	3	
heavy	3	
adultery	5	disgust, negative, sadness
polluted	40	
candlestick	13	
sayest	40	
uncleanness	1	
chronicles	40	
amaziah	40	
zechariah	40	
air	39	
instead	39	
strife	4	anger, negative
seir	39	
bowel	39	
whereby	39	
circumcise	2	
quickly	39	
tender	39	joy, positive, trust
least	39	
midian	39	
ephah	39	
brook	39	
bethlehem	39	
merari	39	
strengthen	2	positive
bondage	39	fear, negative, sadness
thick	2	
blow	4	
pay	2	anticipation, joy, positive, trust
eighth	39	
corner	37	
net	13	
molten	39	
cleanse	10	positive
leprosy	39	disgust, fear, negative, sadness
porch	2	
gideon	39	
plead	3	
samson	39	
shake	1	
salute	9	joy, positive
supplication	21	positive, trust
lawful	39	positive, trust
manifest	10	
grow	23	anticipation, joy, positive, trust
mark	2	
olive	15	
grievous	38	anger, fear, negative, sadness
pursue	8	
oh	38	
shoulder	20	positive, trust
vail	1	
bitter	38	
wouldest	38	
empty	8	
heap	2	
visit	4	positive
hail	38	negative, positive, trust
step	1	
continue	4	anticipation, positive, trust
innocent	2	positive, trust
bar	7	
girdle	6	
passeth	38	
appearance	2	
heshbon	38	
fence	1	
needy	38	negative
oppress	3	anger, disgust, fear, negative, sadness
reveal	7	
confidence	1	fear, joy, positive, trust
forest	3	
singer	2	
prevail	29	anticipation, joy, positive
remaineth	37	
maid	9	
wax	1	
digge	37	
catch	15	surprise
dew	37	
folly	37	negative
grape	8	
forbid	4	negative, sadness
sow	2	
tribute	37	positive
barley	37	
diligently	37	
palm	7	
sinai	37	
therewith	37	
lamp	13	
chain	13	
assemble	2	
sihon	37	
diver	37	
valour	37	
gibeon	37	
tyre	37	
receiveth	37	
letter	34	anticipation
saviour	2	
inner	37	
ahaziah	37	
jehoiakim	37	
authority	1	positive, trust
worketh	37	
crucify	16	
fish	27	
twentieth	36	
seest	36	
fourscore	36	
nought	36	
circumcision	36	positive
notwithstanding	36	
adversary	22	anger, negative
broad	1	
shout	14	anger, surprise
caleb	36	
rebellious	36	
seal	1	positive, trust
ai	36	
jezreel	36	
ramah	36	
purpose	1	
tear	13	
fornication	3	negative
philip	36	
fruitful	35	positive
perceive	3	positive, trust
overlay	2	
mean	3	
oblation	5	
use	1	
ordain	5	
wound	1	anger, fear, negative, sadness
silence	35	
eli	35	
course	18	
epistle	2	
likeness	34	
gavest	34	
respect	1	anticipation, joy, positive, trust
rebel	3	anger, fear, negative
lad	1	
beersheba	34	
virgin	22	positive, trust
leah	34	
hire	1	anticipation, joy, positive, trust
deceive	2	anger, disgust, negative, sadness
residue	34	
carcase	22	
ninth	34	
astonish	34	
jealousy	1	anger, disgust, fear, negative, sadness
hamath	34	
transgress	2	
array	11	positive
hilkiah	34	
asaph	34	
excellent	34	joy, positive, trust
deceit	2	anger, disgust, fear, negative, sadness, surprise
